ACCIONA, 1997, Sociedad Anonima, 39000, 1124M, ESP
ACCIONA ENER, 2001, Capital abierto, 1762, 1086M, ESP
ACERINOX S.A., 1970, Negocio, 8249, 6099M, ESP
ACS, 1997, Empresa de construccion, 179539, 3148M, ESP
AENA, 2010, Empresa publica, 9230, 901.5M, ESP
AMADEUS IT GROUP, 1987, Negocio, 19437, 1270M, ESP
ARCELORMITTAL, 2006, Sociedad Anonima, 198517, 4533M, LUX
BANCO SABADELL, 1881, Banco, 18985, 213M, ESP
BANKINTER, 1965, Banco, 6541, 845M, ESP
BBVA, 1999, Banco, 121486, 8019M, ESP
CAIXABANK, 2011, Banco, 44654, -3145M, ESP
CELLNEX TELECOM, 2015, Empresa, 3018, 3499M, ESP
COLONIAL, 1946, Sociedad Anonima, 241, 354.5M, ESP
ENAGAS, 1972, Sociedad Anonima, 1365, 375.8M, ESP
ENDESA, 1944, Sociedad Anonima, 9035, 742M, ESP
FERROVIAL, 1952, Empresa de capital abierto, 63070, 1197M, ESP
FLUIDRA, 1969, Sociedad Anonima, 6995, 252M, ESP
GRIFOLS, 1940, Sociedad Anonima, 23000, 208M, ESP
IAG, 2011, Sociedad Anonima, 59505, 431M, ESP/UK
IBERDROLA, 1992, Empresa de capital abierto, 40090, 4339M, ESP
INDITEX, 1985, Sociedad Anonima, 165042, 4130M, ESP
INDRA, 1992, Sociedad Anonima, 57755, 206M, ESP
LOGISTA, 1999, Negocio, 15000, 73M, ESP
MAPFRE, 1933, Sociedad Anonima, 30873, 677M, ESP
MELIÁ HOTELS, 1956, Sociedad Anonima, 44461, 3M, ESP
MERLIN PROP, 2014, Socimi, 709M, 259M, ESP
NATURGY, 1991, Sociedad Anonima, 22000, 1360M, ESP
REDEIA, 1985, Sociedad Anonima, 2477, 689.6M, ESP
REPSOL, 1987, Sociedad Anonima, 25000, 2499M, ESP
ROVI, 2003, Sociedad Limitada, 800, 26.9M, FIN
SACYR, 1986, Sociedad Anonima, 46562, 111M, ESP
SANTANDER, 1857, Banco, 212764, 11076M, ESP
SOLARIA, 2002, Sociedad Anonima, 191, 90M, ESP
TELEFÓNICA, 1924, Sociedad Anonima, 122718, 3331M, ESP
UNICAJA BANCO, 2011, Banco, 8799, -60M, ESP